fport,mtype,code_rate,size,bandwidth,spreading_factor,frequency,crc_status,gateway,length_total,time_diff,snr,rssi,rate,rolling_rate_byte_sec,rolling_rate_byte_min,rolling_rate_packet_sec,rolling_rate_packet_min,header_length,payload_length,fcnt
0,0,0,0,0,0.6,1.0,0,0,0.6,0.7628063114368719,0.4813559322033898,0.3648648648648648,0.2376611856457971,0.2115168025855405,0.0730212775018226,0.0,0.0,0.0,0.6,0.0
0,0,0,0,0,0.6,1.0,0,0,0.6,0.8512861223889459,0.6779661016949152,0.2972972972972973,0.1487138776110541,0.2115168025855405,0.0730212775018226,0.0,0.0,0.0,0.6,0.0
0,0,0,0,0,0.6,1.0,0,0,0.8,0.8088280316434687,0.5932203389830508,0.2837837837837837,0.1911719683565313,0.2695919956312832,0.3478172991191808,0.0,0.2789429456511298,0.0,0.8,0.0
0,0,0,0,0,0.4,1.0,0,0,0.6,0.7733208223427177,0.1525423728813559,0.2837837837837837,0.2319656893840399,0.2115168025855405,0.493744209316672,0.0,0.4421141086977402,0.0,0.6,0.0
0,0,0,0,0,0.4,1.0,0,0,0.6,0.7170437853055621,0.311864406779661,0.4054054054054054,0.2829562146944378,0.2115168025855405,0.5983687205781222,0.0,0.5578858913022596,0.0,0.6,0.0
0,0,0,0,0,0.6,0.8571428571428571,0,0,0.6,0.6642597232432427,0.6101694915254238,0.4189189189189189,0.3357402767567572,0.2115168025855405,0.5983687205781222,0.0,0.5578858913022596,0.0,0.6,0.0
0,0,0,0,0,0.6,1.0,0,0,0.6,0.7768241057160571,0.5016949152542373,0.2837837837837837,0.2231758942839429,0.2115168025855405,0.679985547022611,0.0,0.647685462377997,0.0,0.6,0.0
0,0,0,0,0,0.6,1.0,0,0,0.8,0.8283185021295767,0.5016949152542373,0.2432432432432432,0.1716814978704232,0.2695919956312832,0.3478172991191808,0.0,0.2789429456511298,0.0,0.8,0.0
0,0,0,0,0,0.4,0.8571428571428571,0,0,0.6,0.7738240443376981,0.4406779661016949,0.5,0.2314624673890596,0.2115168025855405,0.3478172991191808,0.0,0.2789429456511298,0.0,0.6,0.0
0,0,0,0,0,0.6,1.0,0,0,0.6,0.6665275554741389,0.7288135593220338,0.3108108108108108,0.333472444525861,0.2115168025855405,0.493744209316672,0.0,0.4421141086977402,0.0,0.6,0.0
0,0,0,0,0,0.6,1.0,0,0,0.8,0.822631009387363,0.6101694915254238,0.2972972972972973,0.1773689906126369,0.2695919956312832,0.493744209316672,0.0,0.4421141086977402,0.0,0.8,0.0
0,0,0,0,0,0.6,0.7142857142857143,0,0,0.6,0.8274106132330149,0.5694915254237288,0.2432432432432432,0.1778758984937428,0.2115168025855405,0.3478172991191808,0.0,0.2789429456511298,0.0,0.6,0.0
0,0,0,0,0,0.6,1.0,0,0,0.6,0.6127122175424032,0.6949152542372882,0.2702702702702703,0.3872877824575966,0.2115168025855405,0.493744209316672,0.0,0.4421141086977402,0.0,0.6,0.0
0,0,0,0,0,0.6,0.7142857142857143,0,0,0.6,0.6690796211957137,0.5830508474576271,0.2702702702702703,0.3309203788042862,0.2115168025855405,0.5983687205781222,0.0,0.5578858913022596,0.0,0.6,0.0
0,0,0,0,0,0.6,0.8571428571428571,0,0,0.6,0.8690509641532422,0.5932203389830508,0.3108108108108108,0.1309490358467576,0.2115168025855405,0.0730212775018226,0.0,0.0,0.0,0.6,0.0
0,0,0,0,0,0.6,1.0,0,0,0.6,0.6048994474648263,0.7627118644067796,0.3648648648648648,0.3951005525351737,0.2115168025855405,0.3315954529113853,0.0,0.2789429456511298,0.0,0.6,0.0
0,0,0,0,0,0.6,1.0,0,0,0.6,0.7039143629729002,0.6711864406779662,0.2702702702702703,0.2960856370270998,0.2115168025855405,0.4828516491808742,0.0,0.4421141086977402,0.0,0.6,0.0
0,0,0,0,0,0.4,1.0,0,0,0.8,0.7767663610533811,0.264406779661017,0.2702702702702703,0.2232336389466188,0.2695919956312832,0.5983687205781222,0.0,0.5578858913022596,0.0,0.8,0.0
0,0,0,0,0,0.6,0.7142857142857143,0,0,0.6,0.6952948037530728,0.559322033898305,0.3243243243243243,0.3099917079736848,0.2115168025855405,0.679985547022611,0.0,0.647685462377997,0.0,0.6,0.0
0,0,0,0,0,0.6,0.8571428571428571,0,0,0.6,0.6905452398163213,0.5254237288135594,0.3783783783783784,0.3094547601836787,0.2115168025855405,0.7469118599396253,0.0,0.7210570543488701,0.0,0.6,0.0
0,0,0,0,0,0.6,1.0,0,0,0.6,0.6074481021596154,0.5084745762711864,0.2432432432432432,0.3925518978403844,0.2115168025855405,0.8036379997932702,0.0,0.783091851446946,0.0,0.6,0.0
0,0,0,0,0,0.6,0.7142857142857143,0,0,0.2,0.7706589884464983,0.6271186440677966,0.2972972972972973,0.2293410115535016,0.0780245917617607,0.8445756745513238,0.0,0.8368288369533894,0.0,0.2,0.0
0,0,0,0,0,0.6,0.7142857142857143,0,0,0.6,0.742518410484918,0.5254237288135594,0.3108108108108108,0.2453299615834299,0.2115168025855405,0.7358579050987777,0.0,0.7210570543488701,0.0,0.6,0.0
0,0,0,0,0,0.6,0.8571428571428571,0,0,0.6,0.8347573423208496,0.4915254237288136,0.3108108108108108,0.1652426576791503,0.2115168025855405,0.3315954529113853,0.0,0.2789429456511298,0.0,0.6,0.0
0,0,0,0,0,0.6,1.0,0,0,0.6,0.5172377373439913,0.559322033898305,0.2702702702702703,0.4827622626560086,0.6842233823423355,0.4828516491808742,0.6309297535714574,0.4421141086977402,0.0,0.6,0.0
