layers_0,layers_1,layers_2,layers_3,layers_4,layers_5,flags,count_pkt,applications,length_total,time_diff,rate,rolling_rate_byte_sec,rolling_rate_byte_min,rolling_rate_packet_sec,rolling_rate_packet_min,header_length,payload_length
0,0,0,1.0,0.0,0,0.7142857142857143,0.0,0,0.0057878174870757,1.0,0.5010789376234343,0.0871010301649683,0.0746785996899265,0.0,0.0,0.8333333333333334,0.0013664535649797
0,0,0,1.0,0.0,0,0.7142857142857143,0.0,0,0.0028658125421443,0.252312095606879,0.58965374258415,0.1385720481176721,0.118808772869772,0.0947800208214054,0.0768628967986303,0.8333333333333334,0.0005205537390399
0,0,0,1.0,0.0,0,0.7142857142857143,0.0,0,0.00590020229265,0.1595043346196595,0.6827581366812852,0.1862427475742415,0.1596806325356494,0.1502227788194979,0.1218248091226293,0.8333333333333334,0.0013989881736697
0,0,0,0.0,0.0,0,0.0,0.0,0,0.0006743088334457,0.362811418377419,0.4569802082339566,0.2008801421515489,0.1722304281933118,0.1895600416428108,0.1537257935972606,0.8333333333333334,0.0005042864346949
0,0,0,0.0,0.0,0,0.0,0.0,0,0.0006743088334457,0.1489730180634631,0.673732163682108,0.2136543423577323,0.1831827600055735,0.2200723931792304,0.1784701195311677,0.8333333333333334,0.0005042864346949
0,0,0,0.0,0.0,0,0.0,0.0,0,0.0006743088334457,0.1037585474753105,0.7282623285264964,0.2249865656890896,0.1928987710350234,0.2450027996409033,0.1986877059212596,0.8333333333333334,0.0005042864346949
0,0,0,1.0,0.0,0,0.7142857142857143,0.0,0,0.0028658125421443,0.2570176443129371,0.5434267282032739,0.2407350807801689,0.2064012181584386,0.2660811579656946,0.2157814316512405,0.8333333333333334,0.0005205537390399
0,0,0,1.0,0.0,0,0.7142857142857143,0.3636363636363636,0,0.1626770060687795,0.4575689616208966,0.3232822203821019,0.4039605016974105,0.3463472767160904,0.2843400624642162,0.230588690395891,0.8333333333333334,0.0467847672962113
0,0,0,1.0,0.0,0,0.7142857142857143,0.3636363636363636,0,0.1626770060687795,0.1485535481315685,0.8520380630644762,0.4631999315699273,0.3971379236341614,0.3004455576389959,0.2436496182452586,0.8333333333333334,0.0467847672962113
0,0,0,1.0,0.0,0,0.7142857142857143,0.3636363636363636,0,0.1343560350640593,0.0912347491621259,0.9211664530650232,0.4947845833306836,0.4242179427880096,0.3148524140006358,0.255333016329798,0.8333333333333334,0.0385860459063328
0,0,0,1.0,1.0,0,0.0,0.3636363636363636,0,0.1544167228590694,0.1181292692767538,0.8799604310323039,0.5218507598250839,0.4474239158486492,0.3278850008446712,0.2659019354852373,0.8333333333333334,0.0444910773835667
0,0,0,0.0,0.0,0,0.0,0.0,0,0.0006743088334457,0.3679222707872862,0.5850792971411372,0.5224081177594291,0.4479017828725424,0.3397828204623088,0.27555060271989,0.8333333333333334,0.0005042864346949
0,0,0,0.0,0.0,0,0.0,0.0,0,0.0006743088334457,0.2552249068567949,0.5455888295777785,0.5229624020130725,0.4483770145869535,0.3507277535337683,0.2844265161650315,0.8333333333333334,0.0005042864346949
0,0,0,0.0,0.0,0,0.0,0.0,0,0.0006743088334457,0.2642803059488115,0.5346677151912533,0.5235136463012312,0.4488496398986037,0.3608611787871,0.2926443284498708,0.8333333333333334,0.0005042864346949
0,0,0,1.0,0.0,0,0.0,0.0,0,0.0775455158462575,0.289011051556256,0.5048416082578693,0.5347998392406783,0.4585261854337359,0.3702951719987284,0.300294928653797,0.8333333333333334,0.0467847672962113
0,0,0,1.0,0.0,0,0.0,0.3636363636363636,0,0.1544167228590694,0.2725605325193957,0.6687425060291902,0.5537545479198538,0.4747775558137459,0.3791200832856216,0.3074515871945213,0.8333333333333334,0.0236201259089356
0,0,0,1.0,0.0,0,0.0,0.0,0,0.0775455158462575,0.2843349586047319,0.6858883932761336,0.5622279104814837,0.4820424394732054,0.387409813200428,0.3141742345352611,0.8333333333333334,0.0467847672962113
0,0,0,1.0,0.0,0,0.0,0.4545454545454545,0,0.2312879298718813,0.2876664274068067,0.6505242912050988,0.5834509262578373,0.5002386088683725,0.3952255784604013,0.3205125150438889,0.8333333333333334,0.0236201259089356
0,0,0,1.0,0.0,0,0.0,0.4545454545454545,0,0.2312879298718813,0.2847027394701767,0.7040496393579917,0.6009645328414257,0.5152544084829754,0.4026186581720039,0.3265080140738767,0.8333333333333334,0.0236201259089356
0,0,0,1.0,0.0,0,0.0,0.4545454545454545,0,0.2312879298718813,0.28057820798669,0.7090239623739364,0.6158745121134035,0.5280379125509326,0.4096324348220412,0.3321959131284284,0.8333333333333334,0.0236201259089356
0,0,0,0.0,0.0,0,0.0,0.0,0,0.0006743088334457,0.339297486913489,0.6382065466711639,0.6160935893842743,0.5282257448163092,0.4163039367851927,0.3376062407738698,0.8333333333333334,0.0005042864346949
0,0,0,0.0,0.0,0,0.0,0.0,0,0.0006743088334457,0.2863582848199558,0.5080409337291725,0.6163121901801141,0.5284131685619698,0.4226650216660766,0.3427648322838676,0.8333333333333334,0.0005042864346949
0,0,0,1.0,0.0,0,0.0,0.0,0,0.0775455158462575,0.2858591958296134,0.5086428517558875,0.6209480542328253,0.5323878613429122,0.428743296382001,0.3476940757906205,0.8333333333333334,0.0236201259089356
0,0,0,0.0,0.0,0,0.0,0.0,0,0.0006743088334457,0.1870297725507707,0.7718954652408158,0.621156358557074,0.5325664571094006,0.4345628412837141,0.3524134995185203,0.8333333333333334,0.0005042864346949
