layers_0,layers_1,layers_2,layers_3,layers_4,layers_5,flags,count_pkt,applications,length_total,time_diff,rate,rolling_rate_byte_sec,rolling_rate_byte_min,rolling_rate_packet_sec,rolling_rate_packet_min,header_length,payload_length
0,0,0,1.0,0.0,0,0,0,1.0,0.0874968086345656,1.0,0.3315000608744284,0.0361595313955759,0.0254950984181252,0.0,0.0,0.0,0.1386783291515018
0,0,0,1.0,0.0,0,0,0,1.0,0.2177944546561857,0.4127241681051065,0.4086688212555202,0.1569289736381463,0.1367453587379261,0.1408841194731412,0.1156891065798795,0.0,0.2994572824326472
0,0,0,0.0,0.6666666666666666,0,0,0,1.0,1.0,0.44276322503515,0.3962156098866694,0.4307473667616913,0.3889810811995653,0.223296046312048,0.1833628956710423,0.0,1.0
0,0,0,0.0,1.0,0,0,0,1.0,1.0,0.471162283765747,0.4869087675953567,0.5134046484287915,0.4651232238810076,0.2817682389462824,0.2313782131597591,0.0,1.0
0,0,0,0.0,1.0,0,0,0,1.0,0.0623744849308339,0.1382527308356284,0.84944409497126,0.516583570324522,0.468051579612965,0.3271227951281543,0.2686217868402408,0.0,0.1025022124366514
0,0,0,0.0,1.0,0,0,0,1.0,0.0954484916287414,0.3836776068298307,0.4363941616618865,0.5200231549735537,0.4712200523697422,0.3641801657851892,0.2990520022509219,0.0,0.1496714333489895
0,0,0,0.0,1.0,0,0,0,1.0,0.049027739805387,0.2664838575222301,0.5691594738949358,0.5229248144478688,0.4738929998130913,0.3955117262426744,0.3247803827854716,0.0,0.0822672909553956
0,0,0,0.0,1.0,0,0,0,1.0,1.0,0.3574964568724428,0.4628299957047341,0.570321673961773,0.5175539860803957,0.4226523584194235,0.3470673197396387,0.0,1.0
0,0,0,0.0,1.0,0,0,0,1.0,1.0,0.2959471584050314,0.6777163676620057,0.6050835655615273,0.5495759066744629,0.446592092624096,0.3667257913420846,0.0,1.0
0,0,0,0.0,1.0,0,0,0,1.0,0.8998559278150159,0.1491008882626651,0.837630555018378,0.6256769692735195,0.5685461153736823,0.4680069146012954,0.3843108934201203,0.0,0.9180475482787056
0,0,0,0.0,1.0,0,0,0,1.0,0.9593528854240144,0.2867002219607388,0.6722155184600448,0.6468572619179352,0.5880569537661298,0.4873789774692591,0.4002185532343356,0.0,0.9668274451496972
0,0,0,0.0,1.0,0,0,0,1.0,0.0104288278419,0.4004926173470082,0.5575474354134097,0.6478436221315421,0.5889655679693191,0.5050642852583304,0.4147411088308015,0.0,0.0187346110751503
0,0,0,0.0,1.0,0,0,0,1.0,0.0104288278419,0.3477911221343813,0.4673975480421788,0.6488226355286156,0.5898674144402354,0.5213331913537465,0.4281005649444444,0.0,0.0187346110751503
0,0,0,0.0,1.0,0,0,0,1.0,0.6256415664245761,0.5597132086809116,0.236616417407402,0.2585569258644888,0.5959300786937032,0.0,0.4404694893653512,0.0,0.6878197648873206
0,0,0,0.0,1.0,0,0,0,1.0,0.0,0.1513164651133276,0.7770115378146044,0.2757631326089834,0.5967543133395495,0.1408841194731412,0.4519846825112831,0.0,0.0
0,0,0,0.0,1.0,0,0,0,1.0,0.0623744849308339,0.3588040551087104,0.4537830663580133,0.294051587345186,0.5977496244944589,0.223296046312048,0.4627564263195183,0.0,0.1025022124366514
0,0,0,0.0,1.0,0,0,0,1.0,0.0623744849308339,0.259761174543534,0.5713379743304181,0.3101034340403837,0.5987368205521864,0.2817682389462824,0.4728749242827079,0.0,0.1025022124366514
0,0,0,0.0,1.0,0,0,0,1.0,1.0,0.6858790582454525,0.107299663897705,0.4132668603559911,0.6161675234563544,0.0,0.4824148979219642,0.0,1.0
0,0,0,0.0,1.0,0,0,0,1.0,1.0,0.2814748871492574,0.6934765330024285,0.5043740122002974,0.6314017799387887,0.1408841194731412,0.4914389388463778,0.0,1.0
0,0,0,0.0,1.0,0,0,0,1.0,0.8998559278150159,0.2935354243698744,0.6803427230197409,0.5452665651269479,0.6414235270838083,0.223296046312048,0.5,0.0,0.9180475482787056
0,0,0,0.0,1.0,0,0,0,1.0,0.9145377999610612,0.1277578741857289,0.8453022189687666,0.5777138133235519,0.6510990445675422,0.2817682389462824,0.508143278456514,0.0,0.9301119397759916
0,0,0,0.0,1.0,0,0,0,1.0,0.0104288278419,0.4042303730989104,0.5465090827560336,0.5793786506660017,0.6516396961909505,0.3271227951281543,0.5159076598142152,0.0,0.0187346110751503
0,0,0,0.0,1.0,0,0,0,1.0,0.0104288278419,0.3109861603594219,0.5074778003170163,0.5810226644006964,0.6521779443934586,0.3641801657851892,0.5233268412549683,0.0,0.0187346110751503
0,0,0,0.0,1.0,0,0,0,1.0,0.3649322141999037,0.5630734817513185,0.2329571120887944,0.585911005242999,0.6538041223112673,0.3955117262426744,0.530430215410681,0.0,0.4513338524176673
0,0,0,0.0,1.0,0,0,0,1.0,0.0,0.2325906423330944,0.6479689295960394,0.5874255966455139,0.6543158351327972,0.4226523584194235,0.5372435736804817,0.0,0.0
0,0,0,0.0,1.0,0,0,0,1.0,0.049027739805387,0.3468821640636204,0.4667658919781563,0.5891708401408047,0.6549101128741979,0.446592092624096,0.543789671524324,0.0,0.0822672909553956
0,0,0,1.0,0.0,0,0,0,1.0,0.4132379315542985,0.596383731600607,0.2026840323724901,0.1707775425534488,0.6567590772704022,0.0,0.550088687013127,0.0,0.4974250266582128
0,0,0,1.0,0.0,0,0,0,1.0,0.4132379315542985,0.1773424580564439,0.7156443805493587,0.2618846943977552,0.6585802309315391,0.1408841194731412,0.5561585959452309,0.0,0.4974250266582128
