time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport,payload_length,header_length,length_total,timestamps,time_diff,rate,rolling_rate_byte_sec,rolling_rate_byte_min,rolling_rate_packet_sec,rolling_rate_packet_min
2020-04-25 01:01:23.562519+00:00,26012682,QIImASYAVXkBl4VrQJm//ccHbA==,0000024b0b031c97,1,867500000,7.0,125.0,4/5,-78,7.0,-1,10,31061,1.0,28,9,44,1587776483.562519,0.0,0.0,44.0,44.0,1.0,1.0
2020-04-25 01:01:32.129674+00:00,27008243,QEOCACeAoAIBtu+M3JuyOrhkx+mwOcy880f1CpHj8cd3fklE,0000024b0b031c97,1,867500000,11.0,125.0,4/5,-93,6.2,-1,10,672,1.0,48,9,64,1587776492.129674,8.567154884338379,5.135894073823321,64.0,108.0,1.0,2.0
2020-04-25 01:01:45.707269+00:00,26012682,QIImASYAVnkBsOMae0N5zfBR6w==,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-78,9.8,-1,10,31062,1.0,28,9,44,1587776505.7072692,13.577595233917236,4.713647659795168,44.0,152.0,1.0,3.0
2020-04-25 01:02:07.851936+00:00,26012682,QIImASYAV3kBklnzkggty4RtCA==,0000024b0b031c97,1,867900000,7.0,125.0,4/5,-78,9.5,-1,10,31063,1.0,28,9,44,1587776527.851936,22.14466691017151,1.9869343792111809,44.0,196.0,1.0,4.0
2020-04-25 01:02:29.996351+00:00,26012682,QIImASYAWHkBimGxmJQjxbCo7g==,0000024b0b031c97,1,867300000,7.0,125.0,4/5,-76,8.8,-1,10,31064,1.0,28,9,44,1587776549.996351,22.1444149017334,1.986956990972736,44.0,196.0,1.0,4.0
2020-04-25 01:02:30.199176+00:00,26012015,QBUgASYA4hwB4AnEFrXRny53ruRU2Vn8o/8AbDHihXJv473rFXl9TnSiDiN6GH5JnIIqMDYZIfKMipyRk8U=,0000024b0b031c97,1,867700000,12.0,125.0,4/5,-107,-15.5,-1,10,7394,1.0,84,9,100,1587776550.1991758,0.2028248310089111,216.93596282630136,100.0,296.0,1.0,5.0
2020-04-25 01:02:52.141077+00:00,26012682,QIImASYAWXkBkogCiurLrvaFzg==,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-76,8.5,-1,10,31065,1.0,28,9,44,1587776572.141077,21.94190120697021,4.557490212754823,44.0,232.0,1.0,4.0
2020-04-25 01:03:02.324213+00:00,2601236c,QGwjASYAVCIBuJjl6OUP6kZtF4Shg/3uPk+KHxXobSfPzNI+MH8e3mLMlGYvJxveY09C3acR7xIhj/lXxEc=,0000024b0b031c97,1,867900000,12.0,125.0,4/5,-112,-16.0,-1,10,8788,1.0,84,9,100,1587776582.324213,10.183135986328123,4.320869333285383,100.0,332.0,1.0,5.0
2020-04-25 01:03:04.659411+00:00,04a0448e,QI5EoASACgEBMZ8DA2u2jovDBIz8ebUkYrO7dAPx2++9,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-96,3.5,-1,10,266,1.0,44,9,60,1587776584.659411,2.335197925567627,42.82292259046631,60.0,392.0,1.0,6.0
2020-04-25 01:03:14.285382+00:00,26012682,QIImASYAWnkBm//F/4TLIeH2/g==,0000024b0b031c97,1,867300000,7.0,125.0,4/5,-78,9.8,-1,10,31066,1.0,28,9,44,1587776594.2853818,9.625970840454102,6.233137518747099,44.0,392.0,1.0,6.0
2020-04-25 01:03:23.986619+00:00,26011498,QJgUASYAChUB4NfKuX7/wajsXT4V,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-100,1.5,-1,10,5386,1.0,28,9,44,1587776603.986619,9.701237201690674,4.535503986268055,44.0,436.0,1.0,7.0
2020-04-25 01:03:36.429761+00:00,26012682,QIImASYAW3kB+7JX8zgsYSLhmw==,0000024b0b031c97,1,867700000,7.0,125.0,4/5,-76,10.0,-1,10,31067,1.0,28,9,44,1587776616.429761,12.44314193725586,3.536084392661321,44.0,336.0,1.0,6.0
2020-04-25 01:03:54.237968+00:00,0480586f,QG9YgASAjQcBLnsOdxVjxOM25dtYlvKKYYQkaYwbqOc=,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-91,4.2,-1,10,1933,1.0,44,9,60,1587776634.237968,17.808207035064697,2.470770915531427,60.0,352.0,1.0,6.0
2020-04-25 01:03:58.574664+00:00,26012682,QIImASYAXHkBb6FSGLlHQ73zrQ==,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-77,9.2,-1,10,31068,1.0,28,9,44,1587776638.574664,4.336695909500122,13.83541785084858,44.0,396.0,1.0,7.0
