time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport,payload_length,header_length,length_total,timestamps,time_diff,rate,rolling_rate_byte_sec,rolling_rate_byte_min,rolling_rate_packet_sec,rolling_rate_packet_min
2020-04-25 01:07:10.318693+00:00,20000003,QAMAACCAy68KqM4SgCl20o5MkwKWMkQ1ShQ=,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-101,-6.5,-1,10,45003,10.0,36,9,45,1587776830.3186932,4.878518104553223,9.224112534911075,45.0,274.0,1.0,6.0
2020-04-25 01:07:11.597939+00:00,2000000c,QAwAACCA75MKnVPPihImBVn3wajtqUXxWRA=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-111,-7.0,-1,10,37871,10.0,36,9,45,1587776831.597939,1.2792458534240725,35.17697546531145,45.0,319.0,1.0,7.0
2020-04-25 01:07:29.329645+00:00,200000f0,QPAAACCAoTUK9mjguyrTNnGOYO0=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-107,-3.5,-1,10,13729,10.0,28,9,37,1587776849.3296452,17.731706142425537,2.5378268531267465,37.0,356.0,1.0,8.0
2020-04-25 01:07:40.598601+00:00,20000000,QAAAACCAy68KC73pZhcMPK0udF7JCaWCf7c=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-106,-6.5,-1,10,45003,10.0,36,9,45,1587776860.5986009,11.268955707550049,3.283356591348611,45.0,266.0,1.0,6.0
2020-04-25 01:08:30.392033+00:00,20000019,QBkAACCA9pMKOTZ1d2Xx35iP5x9MrL4ecP8=,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-106,-7.5,-1,10,37878,10.0,36,9,45,1587776910.392033,49.79343223571777,0.9037336447701358,45.0,90.0,1.0,2.0
2020-04-25 01:08:30.691161+00:00,20000010,QBAAACCA9pMKxFx0P63m3B5kaHR2AedW/Lw=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-109,-5.5,-1,10,37878,10.0,36,9,45,1587776910.6911612,0.2991280555725097,150.43724305255557,90.0,135.0,2.0,3.0
2020-04-25 01:08:33.606449+00:00,26012e76,QHYuASaAU9cKaSyzSgmha2BG1VU8tSBTGw==,0000024b0b031c97,1,867300000,12.0,125.0,4/5,-117,-1.8,-1,10,55123,10.0,36,9,45,1587776913.606449,2.915287733078003,15.435869156039823,45.0,180.0,1.0,4.0
2020-04-25 01:10:14.902180+00:00,20000002,QAIAACCA1ZQK+PQZDMSQh+yAJ6eDVz76VRk=,0000024b0b031c97,1,868500000,12.0,125.0,4/5,-109,-13.0,-1,10,38101,10.0,36,9,45,1587777014.9021802,101.29573130607604,0.4442437940847439,45.0,45.0,1.0,1.0
2020-04-25 01:10:20.906841+00:00,20000000,QAAAACCAxpQKiKmGpezSdgQZEaimjuE5S7c=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-102,-5.0,-1,10,38086,10.0,36,9,45,1587777020.906841,6.004660844802856,7.49417846620735,45.0,90.0,1.0,2.0
2020-04-25 01:10:59.376197+00:00,20000002,QAIAACCAza8K2+wDRHSPr2oftpU+5k6sjbk=,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-105,-6.0,-1,10,45005,10.0,36,9,45,1587777059.376197,38.46935606002808,1.1697622369810772,45.0,135.0,1.0,3.0
